host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
2144360.0,Centrum-Oost,52.3609619140625,4.88822603225708,Entire home/apt,381.0,5.0,0.0,Condo,Amsterdam,4.81,1.0,1.0,1.0,private
4290554.0,Zuid,52.35323,4.85421,Entire home/apt,200.0,6.0,150.0,Rental unit,Amsterdam,4.76,1.0,1.0,1.5,private
2064560.0,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129.0,3.0,2.0,Bed and breakfast,Amsterdam,4.78,1.0,1.0,,private
2191136.0,Zuid,52.341621,4.849049,Entire home/apt,200.0,3.0,15.0,Boat,Amsterdam,4.88,2.0,2.0,1.0,private
3015785.0,Centrum-West,52.381996,4.888583,Private room,134.0,1.0,30.0,Bed and breakfast,Amsterdam,4.75,,1.0,1.0,shared
4297337.0,Centrum-Oost,52.36123,4.89619,Entire home/apt,127.0,6.0,115.0,Rental unit,Amsterdam,4.78,1.0,1.0,1.5,private
4364462.0,Centrum-Oost,52.37272,4.90418,Entire home/apt,133.0,3.0,77.0,Rental unit,Amsterdam,4.89,1.0,1.0,1.5,private
3040748.0,Noord-Oost,52.41016,4.96369,Private room,87.0,2.0,151.0,Farm stay,Amsterdam,4.86,1.0,1.0,,private
2193861.0,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,175.0,3.0,4.0,Home,Amsterdam,4.61,3.0,3.0,2.0,private
3054367.0,Centrum-Oost,52.36899,4.91607,Entire home/apt,400.0,3.0,14.0,Rental unit,Amsterdam,4.94,3.0,3.0,2.0,private
2202945.0,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80.0,2.0,164.0,Guest suite,Amsterdam,4.79,2.0,2.0,,private
5183517.0,Bijlmer-Centrum,52.32019,4.95501,Private room,72.0,3.0,185.0,Home,Amsterdam,4.59,1.0,1.0,1.5,private
